pueblo,a2003,a2005,a2010,a2011,a2012,a2013,a2014,a2015,a2016
atzinca,1,0,0,0,0,0,0,0,0
ch'ol,2,1,1,0,1,0,0,0,0
chatino,2,0,0,1,0,0,0,0,0
chichimeca,0,1,0,0,0,0,1,0,0
chinanteco,1,0,0,1,0,1,0,0,0
chipanteco,0,0,0,0,0,1,0,0,0
cho'l,0,0,0,0,0,1,0,1,0
chocholteco,1,0,0,1,0,0,0,0,0
chontal,1,0,1,0,1,0,0,0,0
conca'c,0,1,0,0,0,0,0,0,0
cora,2,0,0,1,0,1,0,0,1
cuicatecos,1,0,0,1,0,0,0,0,0
guarijío,1,1,2,0,0,1,0,0,0
huasteco,0,0,1,0,0,0,0,0,0
huave,3,1,1,0,1,0,0,0,0
huichol,2,0,1,1,0,1,0,0,1
kanjonbal,2,1,1,0,1,0,0,1,0
mam,2,1,1,0,1,0,0,0,0
matlatzinca,1,0,1,0,0,0,0,0,0
maya,4,2,2,0,1,2,2,3,0
mayo,1,1,1,0,0,1,0,0,1
mazahua,1,1,1,1,2,0,0,0,0
mazatecos,1,0,0,0,0,3,0,0,0
mepha,0,0,0,0,0,0,0,0,0
mestizo,2,1,0,1,0,0,0,0,0
mixe,2,1,1,0,1,1,0,0,0
mixteco,4,2,2,0,0,0,0,1,0
mochó,0,0,0,0,0,0,0,0,0
motozintleco,2,1,1,0,1,0,0,0,0
na savi,0,0,0,0,0,1,0,0,0
nahua,6,5,8,3,3,6,7,2,0
o'dam,2,1,1,0,0,0,0,0,1
odamis,1,0,1,0,0,0,0,0,0
otomí,8,5,5,0,4,2,4,0,0
pames,0,1,0,0,0,0,2,0,0
pima,0,0,2,0,0,1,0,0,1
popoluca,0,1,0,0,0,0,0,0,0
purépecha,2,1,1,1,0,2,0,0,0
raramurí,1,1,1,0,0,3,0,0,0
rarmurí,0,0,0,0,0,0,0,0,0
seris,0,0,1,0,0,0,0,0,0
tarahumara,0,0,0,0,0,0,0,0,1
teenek,2,1,0,0,1,1,2,0,0
tepehua,1,1,1,0,0,0,1,0,0
tepehuano,0,0,0,0,0,1,0,0,1
tlahuicas,0,0,1,0,0,0,0,0,0
tlapaneco,1,1,0,0,1,0,0,0,0
tojolabal,2,1,1,0,1,0,0,1,0
totonaca,1,2,1,0,0,1,1,1,0
triquis,0,0,0,0,0,2,0,0,0
tseltal,2,1,1,0,1,1,0,1,0
tzotzil,2,1,2,0,2,0,0,1,0
yaqui,2,1,1,0,0,1,0,0,1
yuhmu,0,0,1,1,0,0,0,0,0
zapoteco,3,1,2,0,1,2,0,0,0
zoque,2,2,1,0,1,1,0,0,0
